GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage
2012R0304,2012,3,2012-04-14,26.0,11.8,0.0,Subiaco,2:40 PM,33473,Fremantle,1.4,4.7,6.13,8.16,64,Brisbane Lions,2.1,3.2,5.3,5.5,35,9.0,8.0,108.7,14.0,4.0,73.3
2012R0305,2012,3,2012-04-14,25.2,18.3,9.2,Carrara,7:40 PM,17069,Gold Coast,2.3,7.5,12.7,13.1,88,Essendon,5.6,7.1,10.12,15.15,105,16.0,0.0,53.3,4.0,12.0,115.9
2012R0306,2012,3,2012-04-14,24.8,13.1,0.0,Docklands,7:40 PM,28971,Western Bulldogs,1.2,1.5,2.6,5.1,40,St Kilda,4.5,6.6,13.9,15.13,103,15.0,0.0,59.5,5.0,8.0,185.8
2012R0307,2012,3,2012-04-15,26.9,16.0,0.0,Blacktown,1:10 PM,6875,Greater Western Sydney,2.0,4.1,6.5,10.9,69,West Coast,11.4,15.8,21.9,23.12,150,18.0,0.0,37.0,1.0,12.0,211.2
2012R0308,2012,3,2012-04-15,26.7,15.6,0.0,M.C.G.,3:15 PM,33524,Hawthorn,5.3,10.7,15.9,21.14,140,Adelaide,4.3,6.8,9.1,12.12,84,7.0,8.0,126.1,8.0,8.0,111.4
2012R0309,2012,3,2012-04-15,26.7,15.6,0.0,Docklands,4:40 PM,29630,North Melbourne,4.5,9.5,16.8,20.11,131,Geelong,1.3,5.8,9.14,16.18,114,6.0,8.0,152.9,11.0,4.0,94.2
2012R0401,2012,4,2012-04-20,22.1,11.8,2.4,Docklands,7:50 PM,30172,St Kilda,4.3,6.9,8.1,11.13,79,Fremantle,3.2,6.3,11.6,14.8,92,7.0,8.0,151.5,6.0,12.0,110.7
2012R0402,2012,4,2012-04-21,24.0,13.3,2.6,M.C.G.,1:45 PM,73172,Carlton,4.4,4.7,5.12,11.13,79,Essendon,3.6,8.11,12.17,15.19,109,4.0,12.0,152.4,3.0,16.0,120.8
2012R0403,2012,4,2012-04-21,24.0,13.3,2.6,Docklands,2:10 PM,30741,Collingwood,7.5,8.8,13.11,14.13,97,Port Adelaide,2.2,5.7,8.8,10.13,73,12.0,8.0,90.7,14.0,4.0,83.2
2012R0404,2012,4,2012-04-21,21.5,18.8,0.0,Football Park,4:10 PM,28261,Adelaide,5.4,7.8,10.13,13.18,96,Greater Western Sydney,1.1,5.3,6.6,7.8,50,5.0,12.0,123.9,18.0,0.0,39.7
2012R0405,2012,4,2012-04-21,21.9,9.2,0.0,Subiaco,5:40 PM,40080,West Coast,0.8,0.12,2.16,5.21,51,Hawthorn,0.4,2.7,3.13,5.16,46,1.0,16.0,193.5,9.0,8.0,120.8
2012R0406,2012,4,2012-04-21,29.9,18.1,0.0,Gabba,7:40 PM,21980,Brisbane Lions,3.3,7.4,12.5,17.9,111,Gold Coast,2.4,5.8,5.9,6.1,46,11.0,8.0,95.9,17.0,0.0,50.6
2012R0407,2012,4,2012-04-22,23.2,14.5,7.2,Kardinia Park,1:10 PM,21952,Geelong,4.1,7.3,10.4,11.9,75,Richmond,3.1,3.6,7.1,9.11,65,10.0,8.0,97.7,13.0,4.0,95.5
2012R0408,2012,4,2012-04-22,25.2,16.3,0.0,S.C.G.,3:15 PM,21049,Sydney,5.5,9.7,14.9,17.11,113,North Melbourne,1.3,6.7,7.11,10.17,77,2.0,16.0,148.2,8.0,8.0,128.1
2012R0409,2012,4,2012-04-22,23.7,13.5,1.4,M.C.G.,4:40 PM,33565,Melbourne,1.5,3.8,7.1,9.13,67,Western Bulldogs,3.2,6.5,10.7,13.1,88,16.0,0.0,54.7,15.0,4.0,71.9
2012R0501,2012,5,2012-04-25,15.2,8.7,19.0,M.C.G.,2:40 PM,86932,Collingwood,2.4,5.6,9.8,11.14,80,Essendon,1.3,3.6,7.8,11.13,79,10.0,12.0,92.4,5.0,16.0,116.8
2012R0502,2012,5,2012-04-27,29.5,17.6,0.0,Subiaco,6:45 PM,38847,Fremantle,1.2,3.9,4.1,7.15,57,Carlton,2.1,6.2,9.4,10.5,65,9.0,12.0,106.7,3.0,16.0,146.5
2012R0503,2012,5,2012-04-28,19.4,3.9,0.0,Manuka Oval,1:45 PM,9128,Greater Western Sydney,2.4,5.5,8.6,9.8,62,Western Bulldogs,0.5,8.9,12.12,15.14,104,18.0,0.0,43.0,13.0,8.0,85.1
2012R0504,2012,5,2012-04-28,21.5,8.2,0.0,Docklands,4:40 PM,17680,North Melbourne,4.9,8.13,14.22,17.25,127,Gold Coast,2.5,9.8,10.12,13.15,93,7.0,12.0,129.7,17.0,0.0,55.3
2012R0505,2012,5,2012-04-28,21.5,8.2,0.0,M.C.G.,7:40 PM,24877,Melbourne,4.1,8.3,10.6,10.6,66,St Kilda,5.4,8.5,10.9,12.12,84,16.0,0.0,58.1,6.0,12.0,146.7
2012R0506,2012,5,2012-04-28,21.2,16.1,38.4,Gabba,7:45 PM,15534,Brisbane Lions,0.5,0.7,1.9,4.17,41,Geelong,4.1,7.5,10.6,12.7,79,12.0,8.0,87.6,8.0,12.0,106.7
2012R0507,2012,5,2012-04-29,15.6,2.1,0.0,York Park,1:10 PM,19217,Hawthorn,5.3,8.6,8.6,10.9,69,Sydney,2.2,5.4,9.7,16.1,106,11.0,8.0,107.6,2.0,20.0,149.3
2012R0508,2012,5,2012-04-29,16.0,8.6,1.6,Docklands,3:15 PM,28464,Richmond,4.2,9.4,12.9,14.13,97,West Coast,5.3,11.6,12.11,16.11,107,14.0,4.0,94.4,1.0,20.0,170.9
2012R0509,2012,5,2012-04-29,19.0,7.8,0.0,Football Park,4:10 PM,41649,Adelaide,4.3,10.4,12.7,16.14,110,Port Adelaide,4.2,7.3,13.4,14.7,91,4.0,16.0,123.2,15.0,4.0,83.1
2012R0601,2012,6,2012-05-04,16.7,9.8,4.0,Docklands,7:50 PM,38155,Western Bulldogs,3.5,5.7,10.1,11.11,77,Collingwood,2.0,6.4,11.5,15.8,98,13.0,8.0,83.9,8.0,16.0,97.3
2012R0602,2012,6,2012-05-05,13.3,7.4,0.0,Docklands,1:40 PM,36361,Essendon,8.3,12.9,16.12,19.15,129,Brisbane Lions,4.1,7.4,8.4,9.8,62,4.0,20.0,128.2,14.0,8.0,78.4
2012R0603,2012,6,2012-05-05,15.5,8.6,0.0,Kardinia Park,1:45 PM,18010,Geelong,3.5,9.11,15.14,17.17,119,Melbourne,3.0,6.1,10.5,11.1,76,6.0,16.0,114.2,17.0,0.0,59.1
2012R0604,2012,6,2012-05-05,23.3,14.9,0.0,Carrara,4:40 PM,11670,Gold Coast,3.1,8.2,10.2,14.3,87,Fremantle,3.0,5.3,10.7,14.1,94,16.0,0.0,60.2,7.0,16.0,106.9
2012R0605,2012,6,2012-05-05,18.9,11.4,0.0,S.C.G.,7:40 PM,23969,Sydney,1.2,7.6,12.7,14.1,94,Adelaide,5.2,8.3,11.6,15.9,99,3.0,20.0,137.2,5.0,20.0,119.9
2012R0606,2012,6,2012-05-05,13.3,7.4,0.0,M.C.G.,7:40 PM,42290,St Kilda,3.2,7.3,12.7,13.1,88,Hawthorn,3.6,8.9,13.11,18.15,123,9.0,12.0,126.5,11.0,12.0,112.9
2012R0607,2012,6,2012-05-06,15.6,8.9,1.6,Docklands,1:10 PM,28213,Carlton,3.5,6.8,9.14,15.2,110,Greater Western Sydney,2.1,5.4,6.7,6.7,43,2.0,20.0,157.8,18.0,0.0,42.4
2012R0608,2012,6,2012-05-06,18.5,11.4,0.0,Football Park,2:45 PM,18522,Port Adelaide,1.2,2.2,6.4,8.6,54,Richmond,3.2,8.7,9.1,13.13,91,15.0,4.0,79.5,12.0,8.0,102.1
2012R0609,2012,6,2012-05-06,20.5,14.8,10.4,Subiaco,2:40 PM,37202,West Coast,4.4,7.1,12.15,17.18,120,North Melbourne,4.0,7.2,12.2,15.5,95,1.0,24.0,161.5,10.0,12.0,119.6
2012R0701,2012,7,2012-05-11,17.0,9.4,1.8,M.C.G.,7:50 PM,36430,Melbourne,3.3,3.5,5.11,6.13,49,Hawthorn,2.6,8.12,10.18,15.25,115,18.0,0.0,56.8,9.0,16.0,123.1
2012R0702,2012,7,2012-05-12,17.0,6.8,0.0,Football Park,12:45 PM,35535,Adelaide,6.3,14.5,17.7,19.8,122,Geelong,3.2,4.2,6.8,10.12,72,3.0,24.0,126.1,10.0,16.0,103.5
2012R0703,2012,7,2012-05-12,14.4,0.1,0.0,Manuka Oval,1:40 PM,8603,Greater Western Sydney,4.2,5.8,8.13,13.16,94,Gold Coast,1.3,7.9,9.11,9.13,67,16.0,4.0,50.5,17.0,0.0,61.5
2012R0704,2012,7,2012-05-12,15.5,7.1,0.2,M.C.G.,4:40 PM,40352,Richmond,5.6,7.9,8.11,13.13,91,Sydney,0.2,2.7,6.9,8.14,62,12.0,12.0,106.9,5.0,20.0,125.5
2012R0705,2012,7,2012-05-12,27.2,13.4,0.0,Gabba,7:40 PM,27926,Brisbane Lions,2.1,3.7,7.9,8.1,58,Collingwood,6.4,9.7,12.12,17.14,116,14.0,8.0,73.4,7.0,20.0,107.0
2012R0706,2012,7,2012-05-12,15.5,7.1,0.2,Docklands,7:40 PM,43260,Essendon,1.6,5.1,12.14,16.17,113,West Coast,1.3,3.5,3.7,7.1,52,2.0,24.0,136.6,1.0,24.0,138.4
2012R0707,2012,7,2012-05-13,13.2,9.1,3.6,Docklands,1:10 PM,20885,North Melbourne,3.1,6.5,11.8,12.11,83,Western Bulldogs,3.3,9.6,14.8,15.11,101,11.0,12.0,114.2,13.0,12.0,88.9
2012R0708,2012,7,2012-05-13,22.9,11.4,0.0,Subiaco,2:40 PM,30079,Fremantle,2.8,6.9,8.14,12.15,87,Port Adelaide,3.2,3.4,6.4,7.5,47,6.0,20.0,114.2,15.0,4.0,76.2
2012R0709,2012,7,2012-05-14,15.8,6.8,6.2,Docklands,7:40 PM,38823,St Kilda,5.3,11.5,16.6,19.8,122,Carlton,5.1,8.6,12.1,14.14,98,8.0,16.0,126.1,4.0,20.0,140.2
2012R0801,2012,8,2012-05-18,17.2,8.8,0.0,M.C.G.,7:50 PM,75650,Collingwood,3.6,7.9,10.11,14.12,96,Geelong,2.4,6.6,7.12,11.18,84,5.0,24.0,107.9,10.0,16.0,101.4
2012R0802,2012,8,2012-05-19,17.0,8.3,3.0,Football Park,1:15 PM,14508,Port Adelaide,5.1,6.2,8.6,14.11,95,North Melbourne,4.1,7.5,11.9,14.9,93,15.0,8.0,79.3,12.0,12.0,112.2
2012R0803,2012,8,2012-05-19,16.1,6.2,3.2,York Park,2:10 PM,12959,Hawthorn,2.4,10.9,13.12,17.17,119,Fremantle,0.3,2.6,7.8,9.9,63,6.0,20.0,129.5,8.0,20.0,102.6
2012R0804,2012,8,2012-05-19,22.2,10.2,2.0,S.C.G.,4:40 PM,20818,Sydney,7.1,11.4,16.9,21.12,138,Melbourne,0.3,1.5,2.7,5.7,37,4.0,24.0,141.5,18.0,0.0,52.5
2012R0805,2012,8,2012-05-19,32.1,19.8,0.0,Marrara Oval,7:10 PM,8724,Western Bulldogs,1.3,2.6,6.12,9.18,72,Gold Coast,1.5,2.9,3.1,4.1,34,11.0,16.0,95.2,17.0,0.0,60.3
2012R0806,2012,8,2012-05-19,14.4,10.5,1.8,M.C.G.,7:50 PM,80900,Essendon,6.2,12.7,16.9,19.14,128,Richmond,4.2,6.8,11.16,15.19,109,3.0,28.0,133.4,13.0,12.0,103.0
2012R0807,2012,8,2012-05-20,24.0,11.3,0.0,Gabba,1:10 PM,16049,Brisbane Lions,7.3,10.9,13.14,19.18,132,Greater Western Sydney,1.2,3.5,4.5,5.1,40,14.0,12.0,88.0,16.0,4.0,47.7
2012R0808,2012,8,2012-05-20,15.2,4.8,0.2,Docklands,3:15 PM,35917,Carlton,5.2,5.4,7.6,8.7,55,Adelaide,4.5,9.6,13.9,19.1,124,7.0,20.0,122.2,2.0,28.0,134.7
2012R0809,2012,8,2012-05-20,26.5,9.2,0.0,Subiaco,2:40 PM,38174,West Coast,6.2,13.6,15.7,18.13,121,St Kilda,1.4,5.5,11.1,13.13,91,1.0,28.0,137.7,9.0,16.0,117.0
2012R0901,2012,9,2012-05-25,10.8,8.4,4.0,Docklands,7:50 PM,29118,Western Bulldogs,1.1,6.2,8.5,11.9,75,Geelong,3.5,6.9,9.9,14.11,95,13.0,16.0,93.2,9.0,20.0,103.7
2012R0902,2012,9,2012-05-26,16.0,7.6,28.0,M.C.G.,1:45 PM,51617,Richmond,4.4,8.8,13.9,21.11,137,Hawthorn,1.3,4.9,8.1,10.15,75,12.0,16.0,110.6,8.0,20.0,116.4
2012R0903,2012,9,2012-05-26,21.0,11.4,8.2,Carrara,2:10 PM,12416,Gold Coast,2.5,7.6,7.8,10.1,70,Port Adelaide,4.4,7.7,14.14,17.16,118,17.0,0.0,60.2,15.0,12.0,86.7
2012R0904,2012,9,2012-05-26,16.0,7.6,28.0,Docklands,4:40 PM,34737,St Kilda,3.1,8.7,14.14,16.15,111,Sydney,4.4,5.4,8.6,12.11,83,7.0,20.0,118.8,5.0,24.0,130.7
2012R0905,2012,9,2012-05-26,16.9,11.1,7.2,Football Park,7:10 PM,44238,Adelaide,3.1,4.5,6.1,6.13,49,Collingwood,3.2,5.6,5.1,10.15,75,3.0,28.0,127.4,4.0,28.0,110.9
2012R0906,2012,9,2012-05-26,17.4,7.7,0.2,Sydney Showground,7:40 PM,11887,Greater Western Sydney,0.5,2.9,4.11,7.11,53,Essendon,3.1,8.1,13.8,18.11,119,16.0,4.0,47.3,2.0,32.0,140.2
2012R0907,2012,9,2012-05-27,14.5,8.8,4.6,Docklands,1:10 PM,19988,North Melbourne,6.4,13.8,15.8,17.1,112,Brisbane Lions,3.2,5.4,11.6,15.6,96,11.0,16.0,112.7,14.0,12.0,87.7
2012R0908,2012,9,2012-05-27,14.5,8.8,4.6,M.C.G.,3:15 PM,28371,Carlton,3.3,7.8,8.14,15.17,107,Melbourne,3.4,5.7,6.1,6.13,49,6.0,24.0,128.9,18.0,0.0,51.8
2012R0909,2012,9,2012-05-27,24.5,6.2,0.0,Subiaco,2:40 PM,40905,West Coast,0.4,2.8,7.14,11.18,84,Fremantle,1.1,3.2,3.3,5.6,36,1.0,32.0,142.6,10.0,20.0,95.5
2012R1001,2012,10,2012-06-01,16.1,3.1,0.0,Docklands,7:50 PM,49337,St Kilda,3.4,9.6,10.14,16.17,113,Richmond,3.7,9.8,12.11,18.13,121,9.0,20.0,115.3,10.0,20.0,110.1
2012R1002,2012,10,2012-06-02,16.2,3.8,0.0,Kardinia Park,1:45 PM,17243,Geelong,4.2,7.3,13.8,19.12,126,Greater Western Sydney,4.2,7.3,8.5,9.7,61,8.0,24.0,111.0,17.0,4.0,47.4
2012R1003,2012,10,2012-06-02,12.7,4.5,0.0,York Park,2:10 PM,16143,Hawthorn,5.2,12.5,20.1,27.12,174,North Melbourne,4.1,6.4,7.4,9.5,59,6.0,24.0,128.9,12.0,16.0,99.8
2012R1004,2012,10,2012-06-02,20.6,7.4,0.0,Subiaco,2:40 PM,31392,Fremantle,3.3,6.6,10.9,12.1,82,Adelaide,5.2,10.5,12.6,17.9,111,11.0,20.0,92.6,3.0,32.0,128.2
2012R1005,2012,10,2012-06-02,19.1,9.8,0.0,Football Park,7:10 PM,24746,Port Adelaide,5.2,9.4,10.9,14.15,99,Carlton,3.1,4.2,5.6,6.9,45,13.0,16.0,93.4,7.0,24.0,118.7
2012R1006,2012,10,2012-06-02,15.4,2.1,0.0,M.C.G.,7:40 PM,42987,Essendon,1.5,2.9,5.13,6.16,52,Melbourne,1.2,4.3,5.5,8.1,58,2.0,32.0,136.4,16.0,4.0,54.6
2012R1007,2012,10,2012-06-03,22.9,16.4,26.4,Gabba,1:10 PM,15546,Brisbane Lions,3.3,7.4,8.5,16.6,102,West Coast,2.1,5.5,10.7,15.1,100,14.0,16.0,89.2,1.0,32.0,136.9
2012R1008,2012,10,2012-06-03,15.7,14.0,28.7,S.C.G.,3:15 PM,13505,Sydney,9.0,10.5,16.9,20.12,132,Western Bulldogs,1.1,3.1,4.5,5.1,40,5.0,28.0,141.7,15.0,16.0,83.9
2012R1009,2012,10,2012-06-03,13.3,5.6,0.8,M.C.G.,4:40 PM,36913,Collingwood,5.4,12.6,18.9,23.11,149,Gold Coast,3.1,5.3,5.7,7.1,52,4.0,32.0,122.4,18.0,0.0,56.9
2012R1101,2012,11,2012-06-08,13.1,8.1,0.0,Docklands,7:50 PM,47632,Carlton,4.4,6.6,9.1,11.19,85,Geelong,2.2,5.7,10.1,14.13,97,9.0,24.0,115.3,7.0,28.0,111.3
2012R1102,2012,11,2012-06-09,11.9,9.0,6.2,M.C.G.,1:40 PM,43801,Richmond,5.2,6.3,8.8,9.12,66,Fremantle,4.1,7.3,9.6,12.6,78,11.0,20.0,108.1,10.0,24.0,94.5
2012R1103,2012,11,2012-06-09,20.7,14.7,0.4,Carrara,4:40 PM,12534,Gold Coast,1.3,3.4,6.6,7.7,49,St Kilda,4.3,10.6,15.12,21.18,144,18.0,0.0,54.3,8.0,24.0,124.8
2012R1104,2012,11,2012-06-09,11.9,9.0,6.2,Docklands,7:40 PM,42785,Essendon,1.5,1.11,2.15,11.16,82,Sydney,5.3,8.6,11.8,13.8,86,4.0,32.0,132.3,2.0,32.0,137.9
2012R1105,2012,11,2012-06-10,14.6,2.2,0.0,Football Park,4:10 PM,26638,Port Adelaide,3.3,4.7,5.7,9.8,62,Hawthorn,7.4,9.8,12.11,16.12,108,13.0,16.0,89.5,6.0,28.0,132.0
2012R1106,2012,11,2012-06-11,12.7,1.3,0.0,M.C.G.,3:15 PM,64250,Melbourne,0.4,3.4,7.7,13.9,87,Collingwood,6.3,8.9,10.15,19.15,129,16.0,4.0,55.9,1.0,36.0,124.9
2012R1201,2012,12,2012-06-14,18.2,9.5,0.4,Subiaco,5:40 PM,34224,West Coast,3.3,5.12,6.17,10.19,79,Carlton,2.3,4.4,8.8,10.9,69,1.0,36.0,135.1,9.0,24.0,113.1
2012R1202,2012,12,2012-06-15,15.4,9.0,0.0,Football Park,8:10 PM,36394,Adelaide,5.3,11.6,16.7,17.13,115,St Kilda,3.1,8.8,10.12,16.15,111,2.0,36.0,125.2,8.0,24.0,121.6
2012R1203,2012,12,2012-06-16,13.3,8.8,0.0,Sydney Showground,2:10 PM,7538,Greater Western Sydney,2.0,5.1,8.1,12.2,74,Richmond,4.2,6.7,9.14,11.2,86,17.0,4.0,50.0,10.0,24.0,108.7
2012R1204,2012,12,2012-06-16,22.9,11.7,0.0,Carrara,7:40 PM,10170,Gold Coast,1.3,4.3,7.5,12.8,80,North Melbourne,1.5,3.12,7.17,11.21,87,18.0,0.0,56.7,12.0,20.0,100.4
2012R1205,2012,12,2012-06-17,15.3,9.7,1.0,M.C.G.,1:10 PM,35492,Hawthorn,4.6,8.12,12.19,19.21,135,Brisbane Lions,6.1,7.2,8.2,11.4,70,5.0,32.0,136.4,15.0,16.0,84.4
2012R1206,2012,12,2012-06-17,15.3,9.7,1.0,Docklands,4:40 PM,16036,Western Bulldogs,3.6,5.1,9.16,13.17,95,Port Adelaide,1.0,4.4,7.6,8.9,57,13.0,20.0,88.8,14.0,16.0,87.0
2012R1301,2012,13,2012-06-22,18.7,10.0,0.0,S.C.G.,7:50 PM,27400,Sydney,7.0,8.2,10.6,12.8,80,Geelong,1.1,3.3,6.6,11.8,74,2.0,36.0,135.4,7.0,28.0,109.8
2012R1302,2012,13,2012-06-23,13.7,4.0,3.2,Docklands,1:40 PM,20146,Western Bulldogs,2.3,5.6,5.1,7.14,56,Brisbane Lions,6.1,8.5,12.5,18.6,114,14.0,20.0,84.6,13.0,20.0,90.4
2012R1303,2012,13,2012-06-23,13.7,4.0,3.2,M.C.G.,4:40 PM,62957,Collingwood,3.5,6.6,11.1,12.13,85,West Coast,2.3,7.6,9.7,12.1,82,1.0,40.0,123.1,4.0,36.0,131.6
2012R1304,2012,13,2012-06-23,17.6,2.2,0.0,Subiaco,5:40 PM,34567,Fremantle,6.1,8.2,14.4,14.5,89,Essendon,5.2,10.4,13.5,17.11,113,12.0,24.0,92.7,3.0,36.0,131.8
2012R1305,2012,13,2012-06-24,15.7,7.1,0.0,M.C.G.,3:15 PM,20070,Melbourne,6.1,11.4,18.8,20.15,135,Greater Western Sydney,5.1,6.2,6.2,9.3,57,16.0,8.0,63.8,17.0,4.0,49.3
2012R1306,2012,13,2012-06-24,15.7,7.1,0.0,Docklands,4:40 PM,18866,North Melbourne,6.6,10.1,13.14,17.19,121,Adelaide,3.2,4.5,9.8,13.11,89,11.0,24.0,103.0,5.0,36.0,119.1
2012R1401,2012,14,2012-06-29,14.4,9.9,0.0,M.C.G.,7:50 PM,65047,Carlton,3.2,6.2,7.6,10.1,70,Hawthorn,7.4,10.7,16.1,18.12,120,10.0,24.0,107.1,6.0,36.0,138.7
2012R1402,2012,14,2012-06-30,12.2,6.6,2.2,M.C.G.,1:45 PM,44891,Collingwood,3.2,6.7,10.13,15.17,107,Fremantle,0.2,2.6,6.6,12.6,78,1.0,44.0,124.2,13.0,24.0,90.8
2012R1403,2012,14,2012-06-30,13.5,8.6,6.0,Football Park,1:40 PM,33780,Adelaide,3.0,8.1,11.2,17.4,106,Richmond,8.3,10.4,11.7,13.9,87,5.0,40.0,119.3,11.0,24.0,106.2
2012R1404,2012,14,2012-06-30,20.2,5.4,0.0,Subiaco,2:40 PM,34592,West Coast,8.3,11.5,17.11,25.16,166,Gold Coast,2.3,4.8,5.9,5.1,40,3.0,40.0,143.1,18.0,0.0,53.2
2012R1405,2012,14,2012-06-30,12.2,6.6,2.2,Docklands,7:40 PM,40824,Essendon,7.5,12.7,15.1,21.14,140,Western Bulldogs,1.2,3.5,6.7,8.8,56,4.0,40.0,138.4,14.0,20.0,79.4
2012R1406,2012,14,2012-06-30,19.7,6.2,0.0,Stadium Australia,7:40 PM,22565,Sydney,3.4,8.6,14.1,19.18,132,Greater Western Sydney,1.2,2.5,4.7,5.8,38,2.0,40.0,144.2,17.0,4.0,47.5
