iter	Passed	Remaining
402	18373	27218
403	18405	27152
404	18440	27092
405	18469	27022
406	18499	26954
407	18535	26894
408	18563	26824
409	18591	26753
410	18621	26686
411	18652	26620
412	18688	26562
413	18725	26505
414	18760	26445
415	18790	26378
416	18821	26314
417	18857	26256
418	18888	26190
419	18918	26125
420	18945	26055
421	18990	26011
422	19037	25968
423	19074	25913
424	19102	25843
425	19129	25775
426	19162	25714
427	19192	25649
428	19219	25581
429	19245	25511
430	19275	25447
431	19308	25387
432	19335	25319
433	19362	25252
434	19391	25186
435	19420	25122
436	19454	25063
437	19485	25002
438	19513	24936
439	19543	24873
440	19572	24809
441	19608	24754
442	19640	24694
443	19670	24632
444	19699	24568
445	19734	24513
446	19767	24455
447	19795	24390
448	19822	24326
449	19853	24265
450	19884	24205
451	19919	24150
452	19959	24101
453	19988	24038
454	20033	23995
455	20063	23935
456	20100	23883
457	20137	23831
458	20173	23777
459	20201	23715
460	20241	23666
461	20271	23606
462	20302	23546
463	20328	23483
464	20357	23422
465	20388	23363
466	20418	23304
467	20448	23244
468	20475	23182
469	20503	23121
470	20537	23066
471	20573	23014
472	20600	22952
473	20630	22893
474	20660	22835
475	20691	22778
476	20720	22719
477	20751	22661
478	20781	22603
479	20810	22544
480	20841	22487
481	20871	22430
482	20900	22371
483	20929	22313
484	20958	22254
485	20990	22199
486	21020	22142
487	21049	22084
488	21077	22025
489	21107	21968
490	21151	21926
491	21206	21895
492	21244	21847
493	21278	21795
494	21319	21750
495	21352	21696
496	21389	21647
497	21422	21594
498	21458	21544
499	21494	21494
500	21530	21444
501	21563	21391
502	21598	21340
503	21637	21293
504	21675	21245
505	21709	21194
506	21743	21143
507	21779	21093
508	21813	21042
509	21845	20988
510	21878	20936
511	21921	20893
512	21970	20857
513	22016	20817
514	22069	20784
515	22136	20763
516	22197	20737
517	22264	20717
518	22314	20680
519	22350	20630
520	22381	20577
521	22417	20527
522	22451	20476
523	22485	20425
524	22542	20395
525	22606	20371
526	22647	20326
527	22692	20285
528	22738	20245
529	22782	20203
530	22817	20153
531	22855	20106
532	22894	20059
533	22932	20012
534	22966	19961
535	23000	19910
536	23045	19869
537	23085	19824
538	23117	19772
539	23154	19723
540	23197	19681
541	23238	19637
542	23275	19589
543	23305	19535
544	23347	19492
545	23393	19451
546	23428	19402
547	23464	19353
548	23496	19301
549	23535	19256
550	23582	19216
551	23623	19172
552	23660	19125
553	23696	19076
554	23728	19025
555	23764	18977
556	23798	18927
557	23839	18883
558	23892	18848
559	23927	18800
560	23960	18749
561	23996	18702
562	24035	18656
563	24073	18610
564	24107	18560
565	24139	18509
566	24172	18460
567	24206	18410
568	24237	18359
569	24271	18309
570	24307	18262
571	24344	18216
572	24381	18168
573	24433	18133
574	24487	18099
575	24519	18048
576	24560	18005
577	24592	17955
578	24624	17904
579	24655	17853
580	24708	17818
581	24779	17796
582	24847	17772
583	24906	17741
584	24963	17709
585	25022	17678
586	25086	17650
587	25150	17622
588	25212	17593
589	25273	17562
590	25339	17535
591	25376	17489
592	25430	17453
593	25488	17421
594	25551	17392
595	25646	17384
596	25686	17339
597	25745	17307
598	25778	17257
599	25820	17213
600	25881	17182
601	25945	17153
602	26002	17119
603	26059	17085
604	26119	17053
605	26176	17018
606	26240	16989
607	26292	16952
608	26358	16922
609	26417	16889
610	26478	16858
611	26538	16825
612	26594	16789
613	26627	16739
614	26673	16697
615	26740	16669
616	26795	16633
617	26831	16585
618	26878	16544
619	26943	16513
620	26983	16468
621	27015	16417
622	27044	16365
623	27098	16328
624	27144	16286
625	27191	16245
626	27245	16208
627	27306	16174
628	27359	16137
629	27397	16090
630	27428	16039
631	27472	15996
632	27535	15964
633	27594	15930
634	27656	15896
635	27706	15857
636	27738	15807
637	27789	15767
638	27847	15732
639	27935	15713
640	27971	15665
641	28014	15621
642	28051	15574
643	28081	15523
644	28114	15473
645	28142	15422
646	28203	15387
647	28241	15341
648	28271	15290
649	28309	15243
650	28358	15202
651	28414	15166
652	28451	15119
653	28486	15070
654	28517	15020
655	28552	14972
656	28591	14926
657	28623	14877
658	28651	14825
659	28689	14779
660	28743	14741
661	28802	14705
662	28862	14670
663	28925	14637
664	28985	14601
665	29042	14565
666	29113	14534
667	29158	14492
668	29211	14452
669	29272	14417
670	29332	14382
671	29394	14347
672	29454	14311
673	29507	14272
674	29569	14237
675	29629	14201
676	29676	14158
677	29732	14120
678	29836	14105
679	29883	14062
680	29911	14011
681	29939	13960
682	29973	13911
683	30046	13881
684	30164	13871
685	30222	13833
686	30265	13789
687	30296	13739
688	30323	13687
689	30353	13636
690	30380	13585
691	30421	13540
692	30479	13502
693	30549	13469
694	30611	13433
695	30663	13393
696	30716	13353
697	30773	13314
698	30828	13275
699	30871	13230
700	30932	13193
701	31002	13160
702	31059	13121
703	31121	13085
704	31211	13060
705	31267	13020
706	31305	12974
707	31344	12927
708	31375	12877
709	31409	12829
710	31451	12784
711	31479	12733
712	31507	12682
713	31534	12631
714	31562	12580
715	31591	12530
716	31618	12479
717	31646	12429
718	31676	12379
719	31706	12330
720	31737	12281
721	31766	12231
722	31795	12181
723	31824	12132
724	31854	12082
725	31882	12032
726	31913	11984
727	31950	11937
728	32003	11896
729	32064	11859
730	32126	11822
731	32196	11787
732	32251	11747
733	32284	11700
734	32328	11655
735	32380	11614
736	32421	11569
737	32449	11519
738	32477	11470
739	32504	11420
740	32530	11370
741	32563	11322
742	32592	11273
743	32619	11223
744	32647	11174
745	32683	11128
746	32722	11082
747	32752	11034
748	32782	10985
749	32832	10944
750	32895	10906
751	32951	10867
752	33009	10827
753	33075	10791
754	33132	10751
755	33190	10712
756	33253	10674
757	33298	10630
758	33348	10588
759	33396	10546
760	33427	10498
761	33456	10449
762	33491	10402
763	33528	10356
764	33564	10310
765	33594	10262
766	33624	10214
767	33654	10166
768	33684	10118
769	33719	10072
770	33749	10024
771	33776	9975
772	33806	9927
773	33836	9880
774	33867	9832
775	33894	9784
776	33924	9736
777	33952	9688
778	33987	9642
779	34048	9603
780	34105	9563
781	34161	9523
782	34224	9485
783	34277	9443
784	34333	9403
785	34390	9363
786	34450	9324
787	34507	9283
788	34576	9246
789	34619	9202
790	34653	9156
791	34695	9111
792	34744	9069
793	34799	9028
794	34859	8989
795	34922	8949
796	34982	8910
797	35042	8870
798	35102	8830
799	35161	8790
800	35225	8751
801	35282	8710
802	35339	8669
803	35401	8630
804	35457	8589
805	35513	8547
806	35570	8506
807	35632	8467
808	35689	8426
809	35746	8384
810	35811	8345
811	35870	8304
812	35928	8263
813	35991	8224
814	36049	8183
815	36107	8141
816	36171	8102
817	36222	8059
818	36275	8017
819	36334	7975
820	36390	7934
821	36447	7892
822	36509	7851
823	36592	7815
824	36626	7769
825	36655	7721
826	36695	7676
827	36764	7637
828	36831	7597
829	36871	7552
830	36911	7506
831	36964	7464
832	37016	7421
833	37066	7377
834	37127	7336
835	37187	7295
836	37247	7253
837	37305	7211
838	37359	7169
839	37406	7125
840	37465	7083
841	37523	7041
842	37573	6997
843	37620	6953
844	37673	6910
845	37730	6868
846	37793	6826
847	37851	6784
848	37910	6742
849	37969	6700
850	38018	6656
851	38072	6613
852	38133	6571
853	38193	6529
854	38247	6486
855	38311	6444
856	38369	6402
857	38421	6358
858	38485	6317
859	38538	6273
860	38570	6226
861	38619	6182
862	38679	6140
863	38736	6097
864	38797	6055
865	38859	6012
866	38916	5969
867	38976	5927
868	39035	5884
869	39087	5840
870	39138	5796
871	39183	5751
872	39220	5705
873	39275	5662
874	39322	5617
875	39360	5571
876	39410	5527
877	39467	5484
878	39529	5441
879	39594	5399
880	39649	5355
881	39708	5312
882	39771	5269
883	39831	5226
884	39887	5183
885	39949	5140
886	40007	5096
887	40066	5053
888	40125	5010
889	40178	4965
890	40235	4922
891	40293	4878
892	40344	4834
893	40401	4790
894	40459	4746
895	40519	4703
896	40576	4659
897	40637	4615
898	40702	4572
899	40759	4528
900	40820	4485
901	40869	4440
902	40924	4396
903	40987	4352
904	41038	4307
905	41092	4263
906	41155	4219
907	41209	4175
908	41273	4131
909	41343	4088
910	41384	4043
911	41430	3997
912	41468	3951
913	41523	3906
914	41578	3862
915	41645	3819
916	41701	3774
917	41754	3729
918	41811	3685
919	41871	3641
920	41928	3596
921	41987	3552
922	42041	3507
923	42097	3462
924	42159	3418
925	42217	3373
926	42273	3328
927	42333	3284
928	42389	3239
929	42441	3194
930	42503	3150
931	42556	3104
932	42612	3060
933	42675	3015
934	42731	2970
935	42788	2925
936	42848	2880
937	42895	2835
938	42935	2789
939	42973	2743
940	43005	2696
941	43054	2650
942	43108	2605
943	43161	2560
944	43225	2515
945	43283	2470
946	43342	2425
947	43394	2380
948	43451	2335
949	43529	2291
950	43604	2246
951	43644	2200
952	43703	2155
953	43748	2109
954	43791	2063
955	43819	2016
956	43870	1971
957	43926	1925
958	43982	1880
959	44040	1835
960	44099	1789
961	44157	1744
962	44213	1698
963	44278	1653
964	44334	1607
965	44393	1562
966	44472	1517
967	44531	1472
968	44590	1426
969	44650	1380
970	44710	1335
971	44760	1289
972	44817	1243
973	44874	1197
974	44930	1152
975	44982	1106
976	45038	1060
977	45093	1014
978	45152	968
979	45210	922
980	45266	876
981	45330	830
982	45389	784
983	45445	738
984	45507	693
985	45566	646
986	45632	601
987	45696	555
988	45756	508
989	45816	462
990	45880	416
991	45912	370
992	45953	323
993	45992	277
994	46030	231
995	46061	184
996	46108	138
997	46167	92
998	46228	46
999	46284	0
