GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage,Day,Month
2012R0305,2012,3,2012-04-14,25.2,18.3,9.2,Carrara,1900-01-01 19:40:00,17069,Gold Coast,2.3,7.5,12.7,13.1,88,Essendon,5.6,7.1,10.12,15.15,105,16.0,0.0,53.3,4.0,12.0,115.9,Saturday,4
2012R0306,2012,3,2012-04-14,24.8,13.1,0.0,Docklands,1900-01-01 19:40:00,28971,Western Bulldogs,1.2,1.5,2.6,5.1,40,St Kilda,4.5,6.6,13.9,15.13,103,15.0,0.0,59.5,5.0,8.0,185.8,Saturday,4
2012R0307,2012,3,2012-04-15,26.9,16.0,0.0,Blacktown,1900-01-01 13:10:00,6875,Greater Western Sydney,2.0,4.1,6.5,10.9,69,West Coast,11.4,15.8,21.9,23.12,150,18.0,0.0,37.0,1.0,12.0,211.2,Sunday,4
2012R0308,2012,3,2012-04-15,26.7,15.6,0.0,M.C.G.,1900-01-01 15:15:00,33524,Hawthorn,5.3,10.7,15.9,21.14,140,Adelaide,4.3,6.8,9.1,12.12,84,7.0,8.0,126.1,8.0,8.0,111.4,Sunday,4
2012R0309,2012,3,2012-04-15,26.7,15.6,0.0,Docklands,1900-01-01 16:40:00,29630,North Melbourne,4.5,9.5,16.8,20.11,131,Geelong,1.3,5.8,9.14,16.18,114,6.0,8.0,152.9,11.0,4.0,94.2,Sunday,4
2012R0401,2012,4,2012-04-20,22.1,11.8,2.4,Docklands,1900-01-01 19:50:00,30172,St Kilda,4.3,6.9,8.1,11.13,79,Fremantle,3.2,6.3,11.6,14.8,92,7.0,8.0,151.5,6.0,12.0,110.7,Friday,4
2012R0402,2012,4,2012-04-21,24.0,13.3,2.6,M.C.G.,1900-01-01 13:45:00,73172,Carlton,4.4,4.7,5.12,11.13,79,Essendon,3.6,8.11,12.17,15.19,109,4.0,12.0,152.4,3.0,16.0,120.8,Saturday,4
2012R0403,2012,4,2012-04-21,24.0,13.3,2.6,Docklands,1900-01-01 14:10:00,30741,Collingwood,7.5,8.8,13.11,14.13,97,Port Adelaide,2.2,5.7,8.8,10.13,73,12.0,8.0,90.7,14.0,4.0,83.2,Saturday,4
2012R0404,2012,4,2012-04-21,21.5,18.8,0.0,Football Park,1900-01-01 16:10:00,28261,Adelaide,5.4,7.8,10.13,13.18,96,Greater Western Sydney,1.1,5.3,6.6,7.8,50,5.0,12.0,123.9,18.0,0.0,39.7,Saturday,4
2012R0405,2012,4,2012-04-21,21.9,9.2,0.0,Subiaco,1900-01-01 17:40:00,40080,West Coast,0.8,0.12,2.16,5.21,51,Hawthorn,0.4,2.7,3.13,5.16,46,1.0,16.0,193.5,9.0,8.0,120.8,Saturday,4
2012R0406,2012,4,2012-04-21,29.9,18.1,0.0,Gabba,1900-01-01 19:40:00,21980,Brisbane Lions,3.3,7.4,12.5,17.9,111,Gold Coast,2.4,5.8,5.9,6.1,46,11.0,8.0,95.9,17.0,0.0,50.6,Saturday,4
2012R0407,2012,4,2012-04-22,23.2,14.5,7.2,Kardinia Park,1900-01-01 13:10:00,21952,Geelong,4.1,7.3,10.4,11.9,75,Richmond,3.1,3.6,7.1,9.11,65,10.0,8.0,97.7,13.0,4.0,95.5,Sunday,4
2012R0408,2012,4,2012-04-22,25.2,16.3,0.0,S.C.G.,1900-01-01 15:15:00,21049,Sydney,5.5,9.7,14.9,17.11,113,North Melbourne,1.3,6.7,7.11,10.17,77,2.0,16.0,148.2,8.0,8.0,128.1,Sunday,4
2012R0409,2012,4,2012-04-22,23.7,13.5,1.4,M.C.G.,1900-01-01 16:40:00,33565,Melbourne,1.5,3.8,7.1,9.13,67,Western Bulldogs,3.2,6.5,10.7,13.1,88,16.0,0.0,54.7,15.0,4.0,71.9,Sunday,4
2012R0501,2012,5,2012-04-25,15.2,8.7,19.0,M.C.G.,1900-01-01 14:40:00,86932,Collingwood,2.4,5.6,9.8,11.14,80,Essendon,1.3,3.6,7.8,11.13,79,10.0,12.0,92.4,5.0,16.0,116.8,Wednesday,4
2012R0502,2012,5,2012-04-27,29.5,17.6,0.0,Subiaco,1900-01-01 18:45:00,38847,Fremantle,1.2,3.9,4.1,7.15,57,Carlton,2.1,6.2,9.4,10.5,65,9.0,12.0,106.7,3.0,16.0,146.5,Friday,4
2012R0503,2012,5,2012-04-28,19.4,3.9,0.0,Manuka Oval,1900-01-01 13:45:00,9128,Greater Western Sydney,2.4,5.5,8.6,9.8,62,Western Bulldogs,0.5,8.9,12.12,15.14,104,18.0,0.0,43.0,13.0,8.0,85.1,Saturday,4
2012R0504,2012,5,2012-04-28,21.5,8.2,0.0,Docklands,1900-01-01 16:40:00,17680,North Melbourne,4.9,8.13,14.22,17.25,127,Gold Coast,2.5,9.8,10.12,13.15,93,7.0,12.0,129.7,17.0,0.0,55.3,Saturday,4
2012R0505,2012,5,2012-04-28,21.5,8.2,0.0,M.C.G.,1900-01-01 19:40:00,24877,Melbourne,4.1,8.3,10.6,10.6,66,St Kilda,5.4,8.5,10.9,12.12,84,16.0,0.0,58.1,6.0,12.0,146.7,Saturday,4
2012R0506,2012,5,2012-04-28,21.2,16.1,38.4,Gabba,1900-01-01 19:45:00,15534,Brisbane Lions,0.5,0.7,1.9,4.17,41,Geelong,4.1,7.5,10.6,12.7,79,12.0,8.0,87.6,8.0,12.0,106.7,Saturday,4
2012R0507,2012,5,2012-04-29,15.6,2.1,0.0,York Park,1900-01-01 13:10:00,19217,Hawthorn,5.3,8.6,8.6,10.9,69,Sydney,2.2,5.4,9.7,16.1,106,11.0,8.0,107.6,2.0,20.0,149.3,Sunday,4
