GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage,Home Odds,Away Odds,previous_game_home_win_loss,previous_game_away_win_loss,previous_game_home_position,previous_game_home_points,previous_game_home_percentage,previous_game_away_position,previous_game_away_points,previous_game_away_percentage,Rivalry,HomeTeamEncode,AwayTeamEncode,VenueEncode,StadiumCapacity,DayC,Day,Month,MinutesSinceMidnight,HomeProbability,AwayProbability,isFinal,CapacityUtilisation
2012R0205,2012,2,2012-04-07,19.8,13.9,0.0,Football Park,1900-01-01 19:10:00,34021,Adelaide,4.4,7.8,7.11,11.16,82,Western Bulldogs,1.4,3.7,7.9,9.1,64,3.0,8.0,165.9,14.0,0.0,69.3,1.21,4.26,1.0,0.0,2.0,4.0,201.5,16.0,0.0,64.0,0,1,18,5,51240,Saturday,5,4,1150,0.8264462809917356,0.2347417840375587,0,0.6639539422326307
2012R0204,2012,2,2012-04-07,29.9,11.5,0.0,Subiaco,1900-01-01 14:40:00,35674,West Coast,4.3,11.8,19.14,25.16,166,Melbourne,1.1,4.2,6.2,9.4,58,1.0,8.0,208.3,16.0,0.0,47.7,1.05,10.34,1.0,0.0,3.0,4.0,156.3,14.0,0.0,65.5,0,17,11,3,42922,Saturday,5,4,880,0.9523809523809523,0.09671179883945842,0,0.8311355482037184
2012R0208,2012,2,2012-04-08,20.0,6.9,0.0,Docklands,1900-01-01 16:40:00,21078,St Kilda,5.2,8.7,15.1,21.13,139,Gold Coast,0.2,2.2,6.4,7.5,47,7.0,4.0,164.7,17.0,0.0,41.7,1.05,9.56,0.0,0.0,12.0,0.0,95.5,17.0,0.0,49.6,0,15,8,4,53359,Sunday,6,4,1000,0.9523809523809523,0.10460251046025104,0,0.395022395472179
2012R0209,2012,2,2012-04-09,15.2,10.1,1.4,M.C.G.,1900-01-01 15:10:00,69231,Geelong,4.1,7.3,10.7,14.8,92,Hawthorn,3.4,8.6,13.7,13.12,90,10.0,4.0,99.0,8.0,4.0,109.7,2.48,1.53,0.0,1.0,11.0,0.0,96.2,6.0,4.0,119.1,1,7,10,1,100024,Monday,0,4,910,0.40322580645161293,0.6535947712418301,0,0.6921438854674878
2012R0301,2012,3,2012-04-13,24.8,8.0,0.4,M.C.G.,1900-01-01 19:50:00,84259,Carlton,7.1,9.7,15.11,18.14,122,Collingwood,3.2,6.3,8.6,9.8,62,2.0,12.0,194.7,13.0,4.0,81.1,1.83,1.93,1.0,1.0,2.0,8.0,193.8,9.0,4.0,99.5,1,3,4,1,100024,Friday,4,4,1190,0.5464480874316939,0.5181347150259068,0,0.8423878269215388
2012R0303,2012,3,2012-04-14,27.9,10.8,0.0,Football Park,1900-01-01 13:40:00,19032,Port Adelaide,3.3,5.6,9.9,12.11,83,Sydney,5.2,8.4,10.6,16.9,105,12.0,4.0,85.7,3.0,12.0,148.8,2.58,1.48,0.0,1.0,12.0,4.0,89.3,4.0,8.0,164.4,0,13,16,5,51240,Saturday,5,4,820,0.38759689922480617,0.6756756756756757,0,0.37142857142857144
2012R0302,2012,3,2012-04-14,24.8,13.1,0.0,M.C.G.,1900-01-01 13:45:00,49826,Richmond,4.4,6.8,15.11,20.13,133,Melbourne,2.3,5.6,6.6,11.8,74,10.0,4.0,97.9,17.0,0.0,50.2,1.21,4.39,0.0,0.0,15.0,0.0,69.0,16.0,0.0,47.7,0,14,11,1,100024,Saturday,5,4,825,0.8264462809917356,0.22779043280182235,0,0.4981404462928897
2012R0304,2012,3,2012-04-14,26.0,11.8,0.0,Subiaco,1900-01-01 14:40:00,33473,Fremantle,1.4,4.7,6.13,8.16,64,Brisbane Lions,2.1,3.2,5.3,5.5,35,9.0,8.0,108.7,14.0,4.0,73.3,1.09,7.32,0.0,0.0,11.0,4.0,95.4,13.0,4.0,78.4,0,6,2,3,42922,Saturday,5,4,880,0.9174311926605504,0.13661202185792348,0,0.7798564838544336
2012R0306,2012,3,2012-04-14,24.8,13.1,0.0,Docklands,1900-01-01 19:40:00,28971,Western Bulldogs,1.2,1.5,2.6,5.1,40,St Kilda,4.5,6.6,13.9,15.13,103,15.0,0.0,59.5,5.0,8.0,185.8,2.49,1.52,0.0,1.0,14.0,0.0,69.3,7.0,4.0,164.7,0,18,15,4,53359,Saturday,5,4,1180,0.4016064257028112,0.6578947368421053,0,0.542944957739088
2012R0305,2012,3,2012-04-14,25.2,18.3,9.2,Carrara,1900-01-01 19:40:00,17069,Gold Coast,2.3,7.5,12.7,13.1,88,Essendon,5.6,7.1,10.12,15.15,105,16.0,0.0,53.3,4.0,12.0,115.9,9.66,1.05,0.0,1.0,17.0,0.0,41.7,5.0,8.0,114.4,0,8,5,2,25000,Saturday,5,4,1180,0.10351966873706003,0.9523809523809523,0,0.68276
2012R0308,2012,3,2012-04-15,26.7,15.6,0.0,M.C.G.,1900-01-01 15:15:00,33524,Hawthorn,5.3,10.7,15.9,21.14,140,Adelaide,4.3,6.8,9.1,12.12,84,7.0,8.0,126.1,8.0,8.0,111.4,1.17,4.9,0.0,1.0,8.0,4.0,109.7,3.0,8.0,165.9,0,10,1,1,100024,Sunday,6,4,915,0.8547008547008548,0.2040816326530612,0,0.33515956170519073
2012R0309,2012,3,2012-04-15,26.7,15.6,0.0,Docklands,1900-01-01 16:40:00,29630,North Melbourne,4.5,9.5,16.8,20.11,131,Geelong,1.3,5.8,9.14,16.18,114,6.0,8.0,152.9,11.0,4.0,94.2,4.09,1.22,1.0,1.0,6.0,4.0,180.4,10.0,4.0,99.0,0,12,7,4,53359,Sunday,6,4,1000,0.24449877750611249,0.819672131147541,0,0.5552952641541258
2012R0401,2012,4,2012-04-20,22.1,11.8,2.4,Docklands,1900-01-01 19:50:00,30172,St Kilda,4.3,6.9,8.1,11.13,79,Fremantle,3.2,6.3,11.6,14.8,92,7.0,8.0,151.5,6.0,12.0,110.7,1.4,2.87,1.0,1.0,5.0,8.0,185.8,9.0,8.0,108.7,0,15,6,4,53359,Friday,4,4,1190,0.7142857142857143,0.3484320557491289,0,0.5654528758035196
2012R0402,2012,4,2012-04-21,24.0,13.3,2.6,M.C.G.,1900-01-01 13:45:00,73172,Carlton,4.4,4.7,5.12,11.13,79,Essendon,3.6,8.11,12.17,15.19,109,4.0,12.0,152.4,3.0,16.0,120.8,1.11,6.62,1.0,1.0,2.0,12.0,194.7,4.0,12.0,115.9,1,3,5,1,100024,Saturday,5,4,825,0.9009009009009008,0.1510574018126888,0,0.7315444293369592
2012R0406,2012,4,2012-04-21,29.9,18.1,0.0,Gabba,1900-01-01 19:40:00,21980,Brisbane Lions,3.3,7.4,12.5,17.9,111,Gold Coast,2.4,5.8,5.9,6.1,46,11.0,8.0,95.9,17.0,0.0,50.6,1.36,3.02,0.0,0.0,14.0,4.0,73.3,16.0,0.0,53.3,0,2,8,6,42000,Saturday,5,4,1180,0.7352941176470588,0.33112582781456956,0,0.5233333333333333
2012R0403,2012,4,2012-04-21,24.0,13.3,2.6,Docklands,1900-01-01 14:10:00,30741,Collingwood,7.5,8.8,13.11,14.13,97,Port Adelaide,2.2,5.7,8.8,10.13,73,12.0,8.0,90.7,14.0,4.0,83.2,1.22,4.1,0.0,0.0,13.0,4.0,81.1,12.0,4.0,85.7,0,4,13,4,53359,Saturday,5,4,850,0.819672131147541,0.24390243902439027,0,0.5761164939372927
2012R0405,2012,4,2012-04-21,21.9,9.2,0.0,Subiaco,1900-01-01 17:40:00,40080,West Coast,0.8,0.12,2.16,5.21,51,Hawthorn,0.4,2.7,3.13,5.16,46,1.0,16.0,193.5,9.0,8.0,120.8,1.6,2.29,1.0,1.0,1.0,12.0,211.2,7.0,8.0,126.1,0,17,10,3,42922,Saturday,5,4,1060,0.625,0.4366812227074236,0,0.9337868692046037
2012R0404,2012,4,2012-04-21,21.5,18.8,0.0,Football Park,1900-01-01 16:10:00,28261,Adelaide,5.4,7.8,10.13,13.18,96,Greater Western Sydney,1.1,5.3,6.6,7.8,50,5.0,12.0,123.9,18.0,0.0,39.7,1.01,21.67,0.0,0.0,8.0,8.0,111.4,18.0,0.0,37.0,0,1,9,5,51240,Saturday,5,4,970,0.9900990099009901,0.046146746654360866,0,0.5515417642466823
2012R0407,2012,4,2012-04-22,23.2,14.5,7.2,Kardinia Park,1900-01-01 13:10:00,21952,Geelong,4.1,7.3,10.4,11.9,75,Richmond,3.1,3.6,7.1,9.11,65,10.0,8.0,97.7,13.0,4.0,95.5,1.15,5.19,0.0,1.0,11.0,4.0,94.2,10.0,4.0,97.9,0,7,14,8,40000,Sunday,6,4,790,0.8695652173913044,0.19267822736030826,0,0.5488
2012R0408,2012,4,2012-04-22,25.2,16.3,0.0,S.C.G.,1900-01-01 15:15:00,21049,Sydney,5.5,9.7,14.9,17.11,113,North Melbourne,1.3,6.7,7.11,10.17,77,2.0,16.0,148.2,8.0,8.0,128.1,1.88,1.86,1.0,1.0,3.0,12.0,148.8,6.0,8.0,152.9,0,16,12,7,48000,Sunday,6,4,915,0.5319148936170213,0.5376344086021505,0,0.43852083333333336
2012R0409,2012,4,2012-04-22,23.7,13.5,1.4,M.C.G.,1900-01-01 16:40:00,33565,Melbourne,1.5,3.8,7.1,9.13,67,Western Bulldogs,3.2,6.5,10.7,13.1,88,16.0,0.0,54.7,15.0,4.0,71.9,2.99,1.37,0.0,0.0,17.0,0.0,50.2,15.0,0.0,59.5,0,11,18,1,100024,Sunday,6,4,1000,0.33444816053511706,0.7299270072992701,0,0.3355694633288011
2012R0501,2012,5,2012-04-25,15.2,8.7,19.0,M.C.G.,1900-01-01 14:40:00,86932,Collingwood,2.4,5.6,9.8,11.14,80,Essendon,1.3,3.6,7.8,11.13,79,10.0,12.0,92.4,5.0,16.0,116.8,1.68,2.15,1.0,1.0,12.0,8.0,90.7,3.0,16.0,120.8,1,4,5,1,100024,Wednesday,2,4,880,0.5952380952380952,0.46511627906976744,0,0.8691114132608174
2012R0502,2012,5,2012-04-27,29.5,17.6,0.0,Subiaco,1900-01-01 18:45:00,38847,Fremantle,1.2,3.9,4.1,7.15,57,Carlton,2.1,6.2,9.4,10.5,65,9.0,12.0,106.7,3.0,16.0,146.5,2.18,1.66,1.0,0.0,6.0,12.0,110.7,4.0,12.0,152.4,0,6,3,3,42922,Friday,4,4,1125,0.4587155963302752,0.6024096385542169,0,0.9050603420157495
2012R0506,2012,5,2012-04-28,21.2,16.1,38.4,Gabba,1900-01-01 19:45:00,15534,Brisbane Lions,0.5,0.7,1.9,4.17,41,Geelong,4.1,7.5,10.6,12.7,79,12.0,8.0,87.6,8.0,12.0,106.7,3.61,1.28,1.0,1.0,11.0,8.0,95.9,10.0,8.0,97.7,0,2,7,6,42000,Saturday,5,4,1185,0.2770083102493075,0.78125,0,0.3698571428571429
2012R0504,2012,5,2012-04-28,21.5,8.2,0.0,Docklands,1900-01-01 16:40:00,17680,North Melbourne,4.9,8.13,14.22,17.25,127,Gold Coast,2.5,9.8,10.12,13.15,93,7.0,12.0,129.7,17.0,0.0,55.3,1.01,15.53,0.0,0.0,8.0,8.0,128.1,17.0,0.0,50.6,0,12,8,4,53359,Saturday,5,4,1000,0.9900990099009901,0.0643915003219575,0,0.33134054236398736
2012R0505,2012,5,2012-04-28,21.5,8.2,0.0,M.C.G.,1900-01-01 19:40:00,24877,Melbourne,4.1,8.3,10.6,10.6,66,St Kilda,5.4,8.5,10.9,12.12,84,16.0,0.0,58.1,6.0,12.0,146.7,6.64,1.1,0.0,0.0,16.0,0.0,54.7,7.0,8.0,151.5,0,11,15,1,100024,Saturday,5,4,1180,0.15060240963855423,0.9090909090909091,0,0.24871030952571382
2012R0508,2012,5,2012-04-29,16.0,8.6,1.6,Docklands,1900-01-01 15:15:00,28464,Richmond,4.2,9.4,12.9,14.13,97,West Coast,5.3,11.6,12.11,16.11,107,14.0,4.0,94.4,1.0,20.0,170.9,3.13,1.35,0.0,1.0,13.0,4.0,95.5,1.0,16.0,193.5,0,14,17,4,53359,Sunday,6,4,915,0.3194888178913738,0.7407407407407407,0,0.5334432804212973
2012R0509,2012,5,2012-04-29,19.0,7.8,0.0,Football Park,1900-01-01 16:10:00,41649,Adelaide,4.3,10.4,12.7,16.14,110,Port Adelaide,4.2,7.3,13.4,14.7,91,4.0,16.0,123.2,15.0,4.0,83.1,1.51,2.53,1.0,0.0,5.0,12.0,123.9,14.0,4.0,83.2,1,1,13,5,51240,Sunday,6,4,970,0.6622516556291391,0.3952569169960475,0,0.8128220140515222
2012R0601,2012,6,2012-05-04,16.7,9.8,4.0,Docklands,1900-01-01 19:50:00,38155,Western Bulldogs,3.5,5.7,10.1,11.11,77,Collingwood,2.0,6.4,11.5,15.8,98,13.0,8.0,83.9,8.0,16.0,97.3,6.83,1.1,1.0,1.0,13.0,8.0,85.1,10.0,12.0,92.4,0,18,4,4,53359,Friday,4,5,1190,0.14641288433382138,0.9090909090909091,0,0.7150621263516932
2012R0602,2012,6,2012-05-05,13.3,7.4,0.0,Docklands,1900-01-01 13:40:00,36361,Essendon,8.3,12.9,16.12,19.15,129,Brisbane Lions,4.1,7.4,8.4,9.8,62,4.0,20.0,128.2,14.0,8.0,78.4,1.15,5.48,0.0,0.0,5.0,16.0,116.8,12.0,8.0,87.6,0,5,2,4,53359,Saturday,5,5,820,0.8695652173913044,0.18248175182481752,0,0.681440806611818
2012R0603,2012,6,2012-05-05,15.5,8.6,0.0,Kardinia Park,1900-01-01 13:45:00,18010,Geelong,3.5,9.11,15.14,17.17,119,Melbourne,3.0,6.1,10.5,11.1,76,6.0,16.0,114.2,17.0,0.0,59.1,1.03,11.68,1.0,0.0,8.0,12.0,106.7,16.0,0.0,58.1,0,7,11,8,40000,Saturday,5,5,825,0.970873786407767,0.08561643835616438,0,0.45025
2012R0604,2012,6,2012-05-05,23.3,14.9,0.0,Carrara,1900-01-01 16:40:00,11670,Gold Coast,3.1,8.2,10.2,14.3,87,Fremantle,3.0,5.3,10.7,14.1,94,16.0,0.0,60.2,7.0,16.0,106.9,6.45,1.11,0.0,0.0,17.0,0.0,55.3,9.0,12.0,106.7,0,8,6,2,25000,Saturday,5,5,1000,0.15503875968992248,0.9009009009009008,0,0.4668
2012R0605,2012,6,2012-05-05,18.9,11.4,0.0,S.C.G.,1900-01-01 19:40:00,23969,Sydney,1.2,7.6,12.7,14.1,94,Adelaide,5.2,8.3,11.6,15.9,99,3.0,20.0,137.2,5.0,20.0,119.9,1.26,3.82,1.0,1.0,2.0,20.0,149.3,4.0,16.0,123.2,0,16,1,7,48000,Saturday,5,5,1180,0.7936507936507936,0.2617801047120419,0,0.49935416666666665
2012R0606,2012,6,2012-05-05,13.3,7.4,0.0,M.C.G.,1900-01-01 19:40:00,42290,St Kilda,3.2,7.3,12.7,13.1,88,Hawthorn,3.6,8.9,13.11,18.15,123,9.0,12.0,126.5,11.0,12.0,112.9,3.6,1.28,1.0,0.0,6.0,12.0,146.7,11.0,8.0,107.6,0,15,10,1,100024,Saturday,5,5,1180,0.2777777777777778,0.78125,0,0.42279852835319526
2012R0607,2012,6,2012-05-06,15.6,8.9,1.6,Docklands,1900-01-01 13:10:00,28213,Carlton,3.5,6.8,9.14,15.2,110,Greater Western Sydney,2.1,5.4,6.7,6.7,43,2.0,20.0,157.8,18.0,0.0,42.4,1.01,23.67,1.0,0.0,3.0,16.0,146.5,18.0,0.0,43.0,0,3,9,4,53359,Sunday,6,5,790,0.9900990099009901,0.042247570764681025,0,0.5287392942146592
2012R0608,2012,6,2012-05-06,18.5,11.4,0.0,Football Park,1900-01-01 14:45:00,18522,Port Adelaide,1.2,2.2,6.4,8.6,54,Richmond,3.2,8.7,9.1,13.13,91,15.0,4.0,79.5,12.0,8.0,102.1,2.19,1.66,0.0,0.0,15.0,4.0,83.1,14.0,4.0,94.4,0,13,14,5,51240,Sunday,6,5,885,0.4566210045662101,0.6024096385542169,0,0.3614754098360656
2012R0609,2012,6,2012-05-06,20.5,14.8,10.4,Subiaco,1900-01-01 14:40:00,37202,West Coast,4.4,7.1,12.15,17.18,120,North Melbourne,4.0,7.2,12.2,15.5,95,1.0,24.0,161.5,10.0,12.0,119.6,1.28,3.61,1.0,1.0,1.0,20.0,170.9,7.0,12.0,129.7,0,17,12,3,42922,Sunday,6,5,880,0.78125,0.2770083102493075,0,0.866735007688365
2012R0701,2012,7,2012-05-11,17.0,9.4,1.8,M.C.G.,1900-01-01 19:50:00,36430,Melbourne,3.3,3.5,5.11,6.13,49,Hawthorn,2.6,8.12,10.18,15.25,115,18.0,0.0,56.8,9.0,16.0,123.1,11.5,1.03,0.0,1.0,17.0,0.0,59.1,11.0,12.0,112.9,0,11,10,1,100024,Friday,4,5,1190,0.08695652173913043,0.970873786407767,0,0.3642125889786451
