Model,MAE,MSE,RMSE,R2,MAPE (%)
Gradient Boosting,4340.795291603116,35864844.6145091,5988.726460150697,0.8615750233268635,13.581783940236877
CatBoost,3879.4743596373282,28313211.275888734,5321.0160003413575,0.890721522634983,12.160064530956314
LightGBM,3938.703294072872,28091176.405825898,5300.110980519738,0.8915784947490247,12.383316269609873
DNN,5932.08447265625,63672100.0,7979.47993292796,0.7542493343353271,19.715386629104614
