Attendance
16697
88180
60158
37631
38910
39281
18079
37728
51223
46843
55625
25376
31564
21669
28927
13768
13791
28546
29619
49337
38695
35641
25308
33042
37324
7772
15546
22176
70334
67457
74757
50903
37214
25076
36140
19228
40751
24877
25322
41630
25084
56157
42433
25376
6324
50066
41444
41715
15957
38133
22295
33771
29812
38934
27031
30207
37931
14725
56521
33319
43984
21049
25541
38350
40836
17000
44264
14956
37749
9556
33832
18091
49007
38565
37293
33386
13284
7809
31090
61157
25831
47027
48030
35964
40501
7131
43549
47266
22892
33218
83804
44354
40847
50967
37353
78561
39836
25429
32595
22885
23935
36448
46457
53018
33274
14913
33597
45312
24035
72157
26924
50142
21757
16622
27569
31265
38017
38227
32035
55802
37306
28765
31387
71759
10119
75650
27591
58342
21619
21599
10677
11936
59338
33118
18236
19332
39984
64250
36365
33780
47632
42987
37894
27504
18571
17404
20791
49069
44846
41935
52475
47422
42785
18721
30110
30742
49062
20130
18289
27402
58141
28985
28464
26501
20505
29133
16936
34138
53636
75890
32911
32950
36316
38360
14625
6696
33884
24361
