AwayTeam,Count,MAE,MSE,RMSE,R2,MAPE (%)
Adelaide,8,0.07862712346710986,0.008008553811394564,0.08949052358431346,0.7711985913092396,12.454936745494308
Brisbane Lions,7,0.043662923920215445,0.0029197394829689294,0.054034613748678996,0.9020468386568327,9.025766456054416
Carlton,10,0.10378084538864633,0.01642686340016782,0.1281673257900305,0.4054882155704743,19.036270233915758
Collingwood,9,0.03942832525340962,0.002289290930822003,0.04784653520185138,0.7994500346485609,5.553325795924289
Essendon,15,0.09796510293313528,0.012419797876139912,0.11144414689044872,0.5240308639319435,15.2654382019703
Fremantle,6,0.06619127498593359,0.006572927726008493,0.08107359450529188,0.8562533507251181,19.12940707500178
Geelong,11,0.0628544286245325,0.00606722590366622,0.07789239952438376,0.6409209573775821,11.936193907582147
Gold Coast,4,0.05647174833130256,0.00396695229806834,0.06298374630067935,-0.8387864959886351,16.32740550539395
Greater Western Sydney,9,0.049754899216521035,0.0027058039127778972,0.052017342423252434,0.9492493218226958,10.606935350273405
Hawthorn,16,0.07585823902312241,0.009622066894925677,0.0980921347250924,0.4706299994107308,12.969163522765538
Melbourne,14,0.055633054862050536,0.004227498708117203,0.06501921799066182,0.7580435190299699,9.999483817305121
North Melbourne,11,0.06574406403862974,0.0066915640194307405,0.08180198053489134,0.8380128936827564,11.010170013949088
Port Adelaide,11,0.03245764380096648,0.0013979647248494203,0.03738936646761242,0.9717400865963726,6.069116480956938
Richmond,11,0.09852069008747302,0.013342904700150699,0.11551149163676616,0.46740047686084574,15.241482878963131
St Kilda,9,0.0584448320745899,0.008429340600160826,0.0918114404644695,0.7668806262833161,10.25562726797765
Sydney,8,0.05575289681926346,0.004448864047265672,0.06669980545148292,0.4196818950338379,12.948684044147157
West Coast,14,0.05109128234510437,0.0030595775626215617,0.055313448298054624,0.888393141441418,11.41131195311714
Western Bulldogs,8,0.063652220890242,0.005735659903187787,0.07573413961475886,0.4316430512399503,12.878492522247036
