Year,Round,MaxTemp,Rainfall,StadiumCapacity,Rivalry,Venue,HomeTeam,AwayTeam,DayC,MinutesSinceMidnight,HomeProbability,previous_game_home_position,previous_game_away_position,previous_game_home_win_loss,previous_game_away_win_loss
0.32054467713111867,1.1141248355269153,-0.41573984809727954,-0.33974264397884785,-0.29085667939309595,-0.31030002786051086,Docklands,Carlton,Greater Western Sydney,Sunday,-1.4165457870887295,-1.890363279522771,1.6547391789759396,-0.8146875765058303,1.0783423632476334,0.9402982274263747
0.32054467713111867,0.9715841028974985,-0.2409339082747882,-0.2487946593449939,1.598205241473803,3.222687432208448,M.C.G.,Richmond,Collingwood,Saturday,-1.175841943453063,0.6285307553900005,-1.6144444220659098,-1.1994615015281396,1.0783423632476334,0.9402982274263747
-0.253877150128021,-0.02620102550841849,-1.2897695472097352,-0.33974264397884785,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,Collingwood,Monday,-0.522502939299111,0.13540846717697044,0.308604755017531,0.532021161072252,-0.927349266876903,-1.0634923802175307
1.7565992452789678,-0.45382322339666864,0.3490361386261193,-0.37005863885679924,1.598205241473803,-0.31030002786051086,M.C.G.,Collingwood,Greater Western Sydney,Sunday,0.027677274725269593,1.2230301239572412,-1.6144444220659098,0.7244081235834066,1.0783423632476334,-1.0634923802175307
0.32054467713111867,0.40142117237983166,-0.8090532126978844,-0.27911065422294523,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,St Kilda,Sunday,-1.4165457870887295,1.2887610123737658,-0.6529198335241895,1.3015690111168703,-0.927349266876903,0.9402982274263747
0.03333376350154884,1.256665568156332,0.7204987607489128,-0.37005863885679924,-0.5077962022458916,-0.31030002786051086,S.C.G.,Sydney,Fremantle,Saturday,-1.175841943453063,1.500977880689977,-0.6529198335241895,0.9167950860945612,1.0783423632476334,0.9402982274263747
-0.8282989773871606,0.9715841028974985,-1.0931128649094326,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Melbourne,Brisbane Lions,Sunday,-1.4165457870887295,-0.028340772088760315,1.4624342612675956,1.1091820486057158,-0.927349266876903,0.9402982274263747
1.4693883316493979,0.40142117237983166,-0.5905457879197704,-0.30942664910089657,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,Brisbane Lions,Thursday,1.1280377027740307,0.2174739367390501,-1.4221395043575658,-1.5842354265504488,-0.927349266876903,0.9402982274263747
0.03333376350154884,1.5417470334151655,-0.7653517277422618,-0.37005863885679924,1.598205241473803,-0.31030002786051086,M.C.G.,Collingwood,Melbourne,Saturday,-1.175841943453063,-1.0952559034688232,0.6932145904342192,-0.4299136514835211,-0.927349266876903,0.9402982274263747
1.7565992452789678,0.11633970712099823,0.15237945632581706,2.5099608745485766,-0.022020073446946217,-0.31030002786051086,Perth Stadium,Fremantle,Richmond,Saturday,0.33715364511398366,0.10399199293970829,-0.07600508039915718,0.7244081235834066,1.0783423632476334,0.9402982274263747
